연번,시도명,시군구명,순찰지역,데이터기준일자,Unnamed: 5,위도,경도,주소
1.0,서울특별시,마포구,서울특별시 마포구 대흥로 80-2,2024-11-30,,37.547119300873,126.941578380249,서울특별시 마포구 대흥로 80-2
2.0,서울특별시,마포구,서울특별시 마포구 성미산로 72,2024-11-30,,37.5598039362683,126.915814046144,서울특별시 마포구 성미산로 72
3.0,서울특별시,마포구,서울특별시 마포구 연남로7길 일대,2024-11-30,,37.5638024235914,126.919232403713,서울특별시 마포구 연남로7길
4.0,서울특별시,마포구,서울특별시 마포구 광성로35,2024-11-30,,37.5499190672082,126.937027641736,서울특별시 마포구 광성로35
5.0,서울특별시,마포구,서울특별시 마포구 어울마당로2길 26,2024-11-30,,37.5458761804545,126.920565409403,서울특별시 마포구 어울마당로2길 26
6.0,서울특별시,마포구,서울특별시 마포구 홍익로5안길,2024-11-30,,37.5532973927172,126.921042240843,서울특별시 마포구 홍익로5안길
7.0,서울특별시,마포구,서울특별시 마포구 월드컵북로 일대,2024-11-30,,37.5717393153074,126.901141476306,서울특별시 마포구 월드컵북로
8.0,서울특별시,마포구,서울특별시 마포구 양화로6길 일대,2024-11-30,,37.5487515873037,126.917098885068,서울특별시 마포구 양화로6길
9.0,서울특별시,마포구,서울특별시 마포구 잔다리로 일대,2024-11-30,,37.5538059668174,126.916914816168,서울특별시 마포구 잔다리로
10.0,서울특별시,마포구,서울특별시 마포구 토정로 일대,2024-11-30,,37.5456052027501,126.929276860967,서울특별시 마포구 토정로
